typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","191","HRV","Croatia","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","327467.49","true","-1","N/A","0","false","327467.49","true","0","false","4578795","4384807","4578795","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","196","CYP","Cyprus","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17741.908","true","-1","N/A","0","false","17741.908","true","0","false","282995","275759","282995","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","203","CZE","Czechia","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24510488.644","true","-1","N/A","0","false","24510488.644","true","0","false","323067119","313755275","323067119","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","208","DNK","Denmark","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1420655.452","true","-1","N/A","0","false","1420655.452","true","0","false","18314961","17748456","18314961","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","214","DOM","Dominican Rep.","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1842869.166","true","-1","N/A","0","false","1842869.166","true","0","false","29227219","28075329","29227219","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","218","ECU","Ecuador","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15196.49","true","-1","N/A","0","false","15196.49","true","0","false","264921","262987","264921","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","222","SLV","El Salvador","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2560.595","true","-1","N/A","0","false","2560.595","true","0","false","50162","49197","50162","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","232","ERI","Eritrea","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","936.489","true","-1","N/A","0","false","936.489","true","0","false","8396","8343","8396","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","233","EST","Estonia","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","370264.96","true","-1","N/A","0","false","370264.96","true","0","false","5454436","5320429","5454436","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","234","FRO","Faroe Isds","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2862.806","true","-1","N/A","0","false","2862.806","true","0","false","45650","41500","45650","6","false","true",
